,5c58799afaea1331935fda2c,5c587a02faea1331f3c8f128,5c587a19faea1331fba7adef,5c587a34faea133204da79f8,5c587a42faea133204da7a08,5c587a49faea133204da7a12,5c587a4efaea133204da7a19,5c587a5afaea133204da7a28,5c587a64faea133204da7a35,5c587a6bfaea133204da7a3f,5c587a78faea133204da7a4f,5c587a84faea133204da7a5f,5c587a8ffaea133204da7a6d,5c587a94faea133204da7a75,5c587a9efaea133204da7a82,5c587aa5faea133204da7a8b,5c587aa9faea133204da7a91,5c587ab8faea133204da7aa5,5c587abffaea133204da7aae,5c587acdfaea133204da7abf,5c587adcfaea133204da7ad0,5c587ae8faea133204da7ade,5c587aeefaea133204da7ae5,5c595355faea134a77ea150e
5c559f5afaea1375ab89e5a0,,,0.6095314713454529,1.1507469665332795,,0.9577739603483582,0.7030175887150989,0.8568629329677679,1.0470237577888417,,,1.1391539171325125,0.9396301279066033,,0.6379743130896154,,,0.7084825334087816,0.6343384963821643,,,,0.9768806546809166,1.1859866473416902
5c559f5cfaea1375ab89e5a6,,,,,,,,,,,,,,,,,,,,,,0.4644016256987351,,
5c559f5efaea1375ab89e5ac,,,,,,,,,,,,,,,,,,,,,,0.11690560372862446,,
5c559f60faea1375ab89e5b2,,,,,,,,,,,,,,,,,,,,,,0.22442792467063644,,
5c559f60faea1375ab89e5b4,-0.16564429261544733,,,,,,,,,,,,,,,,,,,,,,,
5c559f61faea1375ab89e5b8,,,,,,,,,,,,,,,,,,,,,,-0.03244109322627331,,
5c559f62faea1375ab89e5b9,,,,,,,,,,,,,,,,,,,0.4053214102266791,,,,,
5c559f63faea1375ab89e5be,-0.32965467786239655,,,,,,,,,,,,,,,,,,,,,-0.505805606129738,,
5c559f65faea1375ab89e5c4,,,,,,,,,,,,,,,,,,,,,,-0.2674884547419887,,
5c559f66faea1375ab89e5c8,0.04588021534079889,,,,,,,,,,,,,,,,,,,,,,,
5c559f67faea1375ab89e5cd,,,,,,,,,,,,,,,,,,,,,,,,0.4998233359004258
5c559f68faea1375ab89e5d2,0.3313443485507217,,,,,,,,,,,,,,,,,,0.4462077971581584,,,,,
5c559f69faea1375ab89e5d6,,,,,,,,,,,,,,,,,0.6075117778118826,,,,,,,
5c559f6afaea1375ab89e5da,,,,,,,,,,,-0.057914109845298434,,,,,,,,,,,,,
5c559f6bfaea1375ab89e5dc,0.09287105706213206,,,,,,,,,,,,,,,,,,,,,,,
5c559f6bfaea1375ab89e5de,,,,,,,,0.2932783811874864,,,,,,,,,,,,,,,,
